incidnt_num,category,descript,day_of_week,date,time,pd_district,resolution,address,lon,lat,location,id
1.46002041E8,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,12/24/2013 08:00:00 AM +0000,16:10,NORTHERN,NONE,1700 Block of FILBERT ST,-122.428356718409,37.7989182515899,"(37.7989182515899, -122.428356718409)",12574
1.36210624E8,NON-CRIMINAL,LOST PROPERTY,Sunday,11/03/2013 07:00:00 AM +0000,20:00,MISSION,NONE,18TH ST / CASTRO ST,-122.435002864298,37.7608878061194,"(37.7608878061194, -122.435002864298)",29467
1.31094677E8,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,12/29/2013 08:00:00 AM +0000,20:00,NORTHERN,NONE,200 Block of BUCHANAN ST,-122.427107742673,37.7720594432515,"(37.7720594432515, -122.427107742673)",11285
1.40052185E8,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,01/18/2014 08:00:00 AM +0000,12:00,INGLESIDE,NONE,100 Block of BLYTHDALE AV,-122.419717992797,37.710821018196,"(37.710821018196, -122.419717992797)",4598
1.31007749E8,OTHER OFFENSES,RESISTING ARREST,Thursday,11/28/2013 08:00:00 AM +0000,21:10,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.419696057318,37.764862881238,"(37.764862881238, -122.419696057318)",20684
1.4602111E8,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,01/12/2014 08:00:00 AM +0000,12:00,CENTRAL,NONE,GEARY ST / STOCKTON ST,-122.406592269796,37.7875673013055,"(37.7875673013055, -122.406592269796)",6726
1.31021103E8,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Tuesday,12/03/2013 08:00:00 AM +0000,09:30,MISSION,NONE,1000 Block of CHURCH ST,-122.427671311215,37.7537598990665,"(37.7537598990665, -122.427671311215)",19116
1.30933818E8,SUSPICIOUS OCC,"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED",Sunday,11/03/2013 07:00:00 AM +0000,15:05,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403742962696,37.7752316978114,"(37.7752316978114, -122.403742962696)",29457
1.40049342E8,NON-CRIMINAL,FOUND PROPERTY,Friday,01/17/2014 08:00:00 AM +0000,16:30,RICHMOND,NONE,400 Block of 6TH AV,-122.464241709387,37.7798418171799,"(37.7798418171799, -122.464241709387)",4760
1.31005737E8,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,11/27/2013 08:00:00 AM +0000,18:40,TENDERLOIN,"ARREST, BOOKED",100 Block of OFARRELL ST,-122.407567826112,37.7865024401191,"(37.7865024401191, -122.407567826112)",20994
1.36242683E8,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,12/25/2013 08:00:00 AM +0000,15:10,PARK,NONE,FELL ST / PIERCE ST,-122.434294413631,37.7744747548597,"(37.7744747548597, -122.434294413631)",12417
1.31039178E8,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,12/07/2013 08:00:00 AM +0000,19:00,INGLESIDE,NONE,0 Block of JUSTIN DR,-122.422840746017,37.7343870874543,"(37.7343870874543, -122.422840746017)",17681
1.46010583E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/14/2014 08:00:00 AM +0000,22:30,TARAVAL,NONE,1800 Block of 15TH AV,-122.474291430955,37.7543062234081,"(37.7543062234081, -122.474291430955)",6128
1.31056865E8,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,12/16/2013 08:00:00 AM +0000,17:06,TENDERLOIN,"ARREST, BOOKED",EDDY ST / MASON ST,-122.409313111431,37.7843478513151,"(37.7843478513151, -122.409313111431)",15077
1.31095261E8,OTHER OFFENSES,CONSPIRACY,Monday,12/30/2013 08:00:00 AM +0000,13:40,MISSION,"ARREST, BOOKED",500 Block of DOLORES ST,-122.426112032102,37.7603579835125,"(37.7603579835125, -122.426112032102)",10946
1.31095669E8,NON-CRIMINAL,AIDED CASE,Monday,12/30/2013 08:00:00 AM +0000,13:50,TENDERLOIN,NONE,0 Block of 5THSTNORTH ST,-122.407073928848,37.7832480933037,"(37.7832480933037, -122.407073928848)",11050
1.30931458E8,ASSAULT,THREATS AGAINST LIFE,Saturday,11/02/2013 07:00:00 AM +0000,16:00,NORTHERN,NONE,VANNESS AV / EDDY ST,-122.420818330445,37.7828946450912,"(37.7828946450912, -122.420818330445)",29643
1.31045238E8,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,12/12/2013 08:00:00 AM +0000,14:26,TENDERLOIN,"ARREST, BOOKED",200 Block of EDDY ST,-122.411525954159,37.7840337806259,"(37.7840337806259, -122.411525954159)",16213
1.46002148E8,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,01/01/2014 08:00:00 AM +0000,18:00,NORTHERN,NONE,200 Block of PAGE ST,-122.425094574482,37.7736316534226,"(37.7736316534226, -122.425094574482)",10309
1.46005233E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,12/01/2013 08:00:00 AM +0000,02:00,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.432137144432,37.7797823264699,"(37.7797823264699, -122.432137144432)",19625
1.30955793E8,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,11/11/2013 08:00:00 AM +0000,11:10,NORTHERN,NONE,1400 Block of POLK ST,-122.420611063278,37.7899689950788,"(37.7899689950788, -122.420611063278)",26616
1.46018082E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/26/2014 08:00:00 AM +0000,13:30,NORTHERN,NONE,100 Block of VANNESS AV,-122.41961604581,37.7766920156351,"(37.7766920156351, -122.41961604581)",1599
1.46018496E8,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,01/15/2014 08:00:00 AM +0000,14:30,TARAVAL,NONE,0 Block of FARALLONES ST,-122.455420330959,37.7139726426685,"(37.7139726426685, -122.455420330959)",5535
1.4005962E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/21/2014 08:00:00 AM +0000,06:42,MISSION,"ARREST, CITED",MISSION ST / 16TH ST,-122.419671780296,37.7650501214668,"(37.7650501214668, -122.419671780296)",3557
1.31035364E8,ASSAULT,THREATS AGAINST LIFE,Sunday,12/08/2013 08:00:00 AM +0000,21:30,CENTRAL,"ARREST, BOOKED",700 Block of VALLEJO ST,-122.410138063118,37.7984442319454,"(37.7984442319454, -122.410138063118)",17544
1.310446E8,WARRANTS,WARRANT ARREST,Thursday,12/12/2013 08:00:00 AM +0000,09:45,MISSION,"ARREST, BOOKED",200 Block of CHURCH ST,-122.428936428106,37.7669078302836,"(37.7669078302836, -122.428936428106)",16347
1.40049386E8,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,01/17/2014 08:00:00 AM +0000,16:40,MISSION,PSYCHOPATHIC CASE,16TH ST / LANDERS ST,-122.427562596985,37.7645752317614,"(37.7645752317614, -122.427562596985)",4871
1.30959325E8,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Tuesday,11/12/2013 08:00:00 AM +0000,14:00,CENTRAL,NONE,900 Block of LOMBARD ST,-122.417237347062,37.8021838763118,"(37.8021838763118, -122.417237347062)",26405
1.31021965E8,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,12/04/2013 08:00:00 AM +0000,00:30,TARAVAL,PSYCHOPATHIC CASE,0 Block of CHUMASERO DR,-122.473119071835,37.7138244828052,"(37.7138244828052, -122.473119071835)",18857
1.40086269E8,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,01/28/2014 08:00:00 AM +0000,20:00,TARAVAL,NONE,1300 Block of 20TH AV,-122.483508149986,37.7620322273378,"(37.7620322273378, -122.483508149986)",976
1.31094724E8,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Wednesday,12/25/2013 08:00:00 AM +0000,15:00,MISSION,NONE,2200 Block of MISSION ST,-122.41932487621,37.7610168835178,"(37.7610168835178, -122.41932487621)",12404
1.31015281E8,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,12/01/2013 08:00:00 AM +0000,02:25,NORTHERN,NONE,900 Block of EDDY ST,-122.422498538491,37.7827136666211,"(37.7827136666211, -122.422498538491)",19926
1.46000227E8,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,01/01/2014 08:00:00 AM +0000,15:45,CENTRAL,NONE,STOCKTON ST / SUTTER ST,-122.406958660602,37.789434763004,"(37.789434763004, -122.406958660602)",10150
1.4001366E8,LARCENY/THEFT,GRAND THEFT BICYCLE,Sunday,01/05/2014 08:00:00 AM +0000,02:00,MISSION,NONE,2700 Block of HARRISON ST,-122.411877096254,37.7528134433406,"(37.7528134433406, -122.411877096254)",8960
1.30958935E8,WARRANTS,WARRANT ARREST,Tuesday,11/12/2013 08:00:00 AM +0000,12:36,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)",26420
1.40007588E8,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Friday,01/03/2014 08:00:00 AM +0000,14:30,TENDERLOIN,NONE,0 Block of GROVE ST,-122.415859883111,37.7787163114488,"(37.7787163114488, -122.415859883111)",9657
1.40029924E8,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,01/10/2014 08:00:00 AM +0000,22:00,BAYVIEW,NONE,1300 Block of KEITH ST,-122.386147090864,37.7330519508492,"(37.7330519508492, -122.386147090864)",7382
